name,gender,age,income,race,education,physical_attractiveness,bio_chemistry,core_values,life_stage,mutual_selection,life_orientation,financial_security,healthy_living,emotional_outlook,continuous_learning,behavior_pattern,interpersonal_skills,commitment_level,psychological_cost
Addisyn,female,22,73,37,67,66,72,3,30,62,92,37,24,37,55,45,39,96,12
Mackenzie,female,29,75,57,1,62,80,9,98,46,18,34,12,15,63,51,64,96,12
Lilah,female,65,82,97,53,67,21,16,13,16,66,19,43,5,5,39,32,83,27
Reyna,female,45,51,43,72,76,7,7,65,52,68,48,90,49,70,68,56,17,57
Carla,female,39,82,95,65,49,11,38,63,90,36,8,41,45,85,6,26,99,61
Abigail,female,56,43,45,39,53,18,66,68,32,86,58,82,75,75,56,41,65,85
Izabelle,female,63,37,67,95,19,53,91,13,20,33,67,44,92,11,49,4,31,70
Tara,female,17,83,78,4,73,22,96,35,69,61,45,33,1,8,7,94,96,51
Laney,female,37,31,54,54,97,46,82,41,23,1,11,39,36,45,63,85,9,9
Marely,female,52,89,42,65,51,54,39,63,6,73,54,90,26,59,2,60,2,1
Essence,female,60,56,35,48,28,40,75,23,58,33,41,38,54,44,98,72,61,46
Nola,female,28,60,71,40,53,88,82,44,39,72,89,21,65,19,95,21,78,59
Jadyn,female,53,67,33,56,9,88,12,26,39,50,94,58,12,1,34,67,40,63
Delilah,female,89,42,68,66,98,22,98,96,78,43,46,35,45,45,17,95,10,83
Erin,female,55,87,57,24,22,51,79,50,38,83,100,21,56,60,3,15,40,79
Nylah,female,44,43,67,73,25,31,88,39,16,73,74,8,39,50,20,38,13,87
